Aesculus hippocastanum
Aesculus hyppocastanum
Aesculus chinensis
Aesculus neglecta
Aesculus parviflora
Aesculus woerlitzensis
Aesculus x carnea
Aesculus x mutabilis
Aeschynanthus andersonii
Aeschynanthus bracteatus
Aeschynanthus buxifolius
Aeschynanthus denticuliger
Aeschynanthus evrardii
Aeschynanthus hosseusianus
Aeschynanthus hybr.
Aeschynanthus membranifolius
Aeschynanthus micranthus
Aeschynanthus parasiticus
Aeschynanthus pulcher x denticuliger
Aeschynanthus radicans
Aeschynanthus sp.
Aeschynanthus speciosus
Aeschynanthus tricolor
Aethionema antitaurii
Aethionema armenum
Aethionema carneum
Aethionema coridifolium
Aethionema edentulum
Aethionema grandiflorum
Aethionema kotschyi
Aethionema lepidioides
Aethionema membranaceum
Aethionema pulchellum
Aethionema saxatile
Aethionema schistosum
Aethionema sp.
Aethionema speciosum
Aethionema thomasianum
Aframomum chrysanthum
Aframomum melegueta
Aframomum sp.
Aframomum zambesiacum
Afrocarpus gaussenii
Afrocarpus gracilior
Afrocarpus mannii
Afrolimon purpuratum
Agalmyla chorisepala
Agapanthus africanus
Agapanthus campanulatus
Agapanthus hybr.
Agapanthus inapertus
Agapanthus praecox
Agapanthus sp.
Agapetes serpens
Agapetes serpens
Agastache cana
Agastache foeniculum
Agastache hybr.
Agastache nepetoides
Agastache occidentalis
Agastache rugosa
Agastache rupestris
Agastache scrophulariifolia
Agathis borneensis
Agathis brownii
Agathis corbassonii
Agathis moorei
Agathis ovata
Agathis palmerstonii
Agave  vizcainoensis
Agave <x>leopoldii
Agave albopilosa
Agave americana
Agave asperrima
Agave attenuata
Agave bovicornuta
Agave calciphila
Agave cerulata
Agave cupreata
Agave deserti
Agave evadens
Agave guadalajarana
Agave gypsophila
Agave havardiana
Agave horrida
Agave chiapensis
Agave impressa
Agave isthmensis
Agave karwinskii
Agave lechuguilla
Agave macroacantha
Agave maculata
Agave margaritae
Agave mckelveyana
Agave mitis
Agave montana
Agave multifilifera
Agave neomexicana
Agave nizandensis
Agave obscura
Agave pablocarrilloi
Agave palmeri
Agave parrasana
Agave parryi
Agave polianthiflora
Agave potatorum
Agave sebastiana
Agave schidigera
Agave sisalana
Agave sp.
Agave striata
Agave stricta
