taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Oxalis virgosa,BestMatch,9.41215,Exact,0,Oxalis virgosa,Oxalis virgosa Molina,Oxalis virgosa,4BBPG,Oxalis virgosa Molina,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Oxalidoideae|Oxalis|Oxalis virgosa,
Oxera pulchella,BestMatch,9.41215,Exact,0,Oxera pulchella,Oxera pulchella Labill.,Oxera pulchella,4BBWF,Oxera pulchella Labill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Clerodendreae|Oxera|Oxera pulchella,
Oxera sulfurea,BestMatch,9.41215,Exact,0,Oxera sulfurea,Oxera sulfurea Dubard,Oxera sulfurea,4BBWQ,Oxera sulfurea Dubard,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Clerodendreae|Oxera|Oxera sulfurea,
Oxycoccus palustris,BestMatch,9.41180,Exact,0,Oxycoccus palustris,Oxycoccus palustris Pers.,Oxycoccus palustris,75FZ7,Vaccinium oxycoccos L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Vaccinioideae|Vaccinieae|Vaccinium|Vaccinium oxycoccos,
Oxydendrum arboreum,BestMatch,9.41215,Exact,0,Oxydendrum arboreum,Oxydendrum arboreum (L.) DC.,Oxydendrum arboreum,75FSZ,Oxydendrum arboreum (L.) DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Vaccinioideae|Oxydendreae|Oxydendrum|Oxydendrum arboreum,
Oxygonum sp.,BestMatch,8.63917,Exact,0,Oxygonum sp.,Oxygonum Burchell ex Campderá,Oxygonum,6BBT,Oxygonum Burchell ex Campderá,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Polygonoideae|Oxygoneae|Oxygonum,
Oxytropis pilosa,BestMatch,9.41215,Exact,0,Oxytropis pilosa,Oxytropis pilosa (L.) DC.,Oxytropis pilosa,6TH8F,Oxytropis pilosa (L.) DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Oxytropis|Oxytropis pilosa,
Ozoroa dispar,BestMatch,9.41215,Exact,0,Ozoroa dispar,Ozoroa dispar (C.Presl) R.Fern. & A.Fern.,Ozoroa dispar,75H8R,Ozoroa dispar (C.Presl) R.Fern. & A.Fern.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Anacardiaceae|Rhoeae|Ozoroa|Ozoroa dispar,
Ozothamnus diosmifolius,BestMatch,9.41215,Exact,0,Ozothamnus diosmifolius,Ozothamnus diosmifolius (Vent.) DC.,Ozothamnus diosmifolius,6TGWW,Ozothamnus diosmifolius (Vent.) DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Gnaphalieae|Ozothamnus|Ozothamnus diosmifolius,
Ozothamnus rosmarinifolius,BestMatch,9.41215,Exact,0,Ozothamnus rosmarinifolius,Ozothamnus rosmarinifolius (Labill.) DC.,Ozothamnus rosmarinifolius,4BNVY,Ozothamnus rosmarinifolius (Labill.) DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Gnaphalieae|Ozothamnus|Ozothamnus rosmarinifolius,
Pabstia modestior,BestMatch,9.41215,Exact,0,Pabstia modestior,Pabstia modestior (Rchb.f.) Garay,Pabstia modestior,4BP4Y,Pabstia modestior (Rchb.f.) Garay,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Pabstia|Pabstia modestior,
Packera aurea,BestMatch,9.41215,Exact,0,Packera aurea,Packera aurea (L.) Á.Löve & D.Löve,Packera aurea,6TJ3V,Packera aurea (L.) Á.Löve & D.Löve,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Senecioneae|Senecioniinae|Packera|Packera aurea,
Paeonia anomala,BestMatch,9.41215,Exact,0,Paeonia anomala,Paeonia anomala L.,Paeonia anomala,4BY9H,Paeonia anomala L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia anomala,
Paeonia anomala x tenuifolia,SortedMatch,0.0,NoMatch,,Paeonia anomala x tenuifolia,,,,,,,,,
Paeonia arietina,BestMatch,9.41180,Exact,0,Paeonia arietina,Paeonia arietina G.Anderson,Paeonia arietina,4BY9L,Paeonia mascula subsp. arietina (G.Anderson) Cullen & Heywood,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia mascula|Paeonia mascula arietina,
Paeonia beresowskii,BestMatch,9.41180,Exact,0,Paeonia beresowskii,Paeonia beresowskii Kom.,Paeonia beresowskii,4BY9Q,Paeonia anomala subsp. veitchii (Lynch) D.Y.Hong & K.Y.Pan,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia anomala|Paeonia anomala veitchii,
